RackBase,Row,Front,Rear,Floor,TileNumber,Building,Hall,MACLeft,SerialNumberLeft,MakerLeft,ModelLeft,ControlUnitIPLeft,Count,MACRight,SerialNumberRight,MakerRight,ModelRight,ControlUnitIPRight
H1CD21,CD,C,D,2,21,Mill Race,1,00:0D:43:43:D7:F9,23B2-107D-FA73-4453,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.11,11,00:0D:44:44:72:7B,2F8D-E58A-3E8D-4E01,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.119
H1CD22,CD,C,D,2,22,Mill Race,1,00:0D:28:E3:4B:11,91AA-DFE1-F63F-44BB,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.12,12,00:0D:17:49:9A:0F,565A-9C4C-F710-4CA2,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.120
H1CD23,CD,C,D,2,23,Mill Race,1,00:0D:8C:9B:18:42,47FD-1C78-F99C-49FF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.13,13,00:0D:7A:E9:0E:90,5B75-2DFF-0E59-4F4B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.121
H1CD24,CD,C,D,2,24,Mill Race,1,00:0D:68:3C:8D:63,B63E-320F-3600-41BF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.14,14,00:0D:5E:9B:7B:51,8CBE-EBCC-7555-4B29,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.122
H1CD25,CD,C,D,2,25,Mill Race,1,00:0D:EE:EC:FA:93,E117-81A1-956A-4788,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.15,15,00:0D:3C:3C:40:E9,FBB7-38A4-AC42-4B4B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.123
H1CD26,CD,C,D,2,26,Mill Race,1,00:0D:9F:53:A3:89,3215-A2F9-C5A0-435D,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.16,16,00:0D:90:EC:B4:AA,2467-8807-4AD0-44BF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.124
H1CD27,CD,C,D,2,27,Mill Race,1,00:0D:72:03:80:30,B53E-4751-A900-41BC,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.17,17,00:0D:14:04:A1:3A,6298-A134-79DC-4D7D,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.125
H1CD28,CD,C,D,2,28,Mill Race,1,00:0D:D8:13:7B:D1,0CE1-2430-8603-4CCC,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.18,18,00:0D:F1:B5:16:7B,374B-2CCD-1FF4-4C70,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.126
H1GH6,GH,H,G,2,6,Mill Race,1,00:0D:B4:B4:E8:8A,35B1-69AA-DC9F-4672,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.19,19,00:0D:55:65:E9:9C,C8F1-EEDE-5321-425F,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.127
H1GH7,GH,H,G,2,7,Mill Race,1,00:0D:38:6C:BD:22,64AC-94B3-734A-44A9,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.20,20,00:0D:49:05:5E:C3,7588-3050-A4AB-4A9E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.128
H1GH8,GH,H,G,2,8,Mill Race,1,00:0D:9D:0C:29:53,2703-705C-51EC-4A83,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.21,21,00:0D:A7:BE:CB:65,670D-6EA7-5112-4066,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.129
H1GH9,GH,H,G,2,9,Mill Race,1,00:0D:71:BD:9E:7B,062D-CF35-83C1-4842,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.22,22,00:0D:1B:5E:AF:14,F121-7825-AFCF-42D4,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.130
H1GH10,GH,H,G,2,10,Mill Race,1,00:0D:55:6D:03:14,78E7-08A6-D0B7-47FF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.23,23,00:0D:0F:0F:8C:B5,31C8-D24E-E1D4-4883,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.131
H1GH11,GH,H,G,2,11,Mill Race,1,00:0D:53:05:D6:4B,B5EE-B71F-FD0D-499D,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.24,24,00:0D:C3:15:67:DD,E999-1149-C772-4D12,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.132
H1GH12,GH,H,G,2,12,Mill Race,1,00:0D:37:36:C3:6D,8B95-BE3B-5486-4C29,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.25,25,00:0D:A7:B7:DA:6C,4A73-84D2-4794-4A70,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.133
H1GH13,GH,H,G,2,13,Mill Race,1,00:0D:09:46:AE:F4,37B2-2C8A-53C5-489E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.26,26,00:0D:2B:E8:AF:0E,D787-CB8D-EDFD-48FC,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.134
H1GH14,GH,H,G,2,14,Mill Race,1,00:0D:EF:E7:7B:94,29B9-4A07-5BC9-4501,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.27,27,00:0D:88:88:1C:B5,1EEB-DF65-18A8-4C60,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.135
H1GH20,GH,H,G,2,20,Mill Race,1,00:0D:CB:9F:EF:55,72F4-4823-2F6B-42CE,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.28,28,00:0D:6C:38:81:56,A2D3-2801-BC86-4872,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.136
H1GH21,GH,H,G,2,21,Mill Race,1,00:0D:CF:3F:5C:EC,888F-9686-B121-4695,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.29,29,00:0D:50:D1:5D:17,26BB-9AEE-3C4C-411F,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.137
H1GH22,GH,H,G,2,22,Mill Race,1,00:0D:A4:E0:C1:AE,00CE-B9FD-132F-4455,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.30,30,00:0D:BE:81:C2:A7,133E-9191-AAD2-4B6A,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.138
H1GH23,GH,H,G,2,23,Mill Race,1,00:0D:88:80:94:37,EEC4-0F32-0E72-4BA2,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.31,31,00:0D:22:31:B5:E8,262E-27D5-E035-4DA4,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.139
H1GH24,GH,H,G,2,24,Mill Race,1,00:0D:E4:38:09:7E,026C-5EF6-0957-4DDB,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.32,32,00:0D:17:D2:2A:F0,9FF2-AF2E-70F7-4555,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.140
H1GH25,GH,H,G,2,25,Mill Race,1,00:0D:DA:59:FD:9F,6BD2-2859-9807-44C2,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.33,33,00:0D:73:8A:07:31,7D5A-27AD-F5D9-4268,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.141
H1GH26,GH,H,G,2,26,Mill Race,1,00:0D:4E:09:CA:C7,023B-8039-7DE1-43F6,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.34,34,00:0D:AC:7F:B0:1F,9CCA-1E18-A15E-49E5,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.142
H1GH27,GH,H,G,2,27,Mill Race,1,00:0D:FE:FE:8C:A5,EF59-05E5-4CDD-428E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.35,35,00:0D:99:9F:2D:D6,47E3-74A8-ECF5-4226,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.143
H1GH28,GH,H,G,2,28,Mill Race,1,00:0D:D4:AE:F0:66,B1EA-F259-E646-4959,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.36,36,00:0D:8D:49:92:67,CC37-2A52-A6BB-417B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.144
H1KL6,KL,K,L,2,6,Mill Race,1,00:0D:38:40:64:FE,F1E4-7C98-ED39-4CA2,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.37,37,00:0D:61:F2:7F:2F,CA14-E8FE-EC71-4F91,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.145
H1KL7,KL,K,L,2,7,Mill Race,1,00:0D:B4:F1:38:1F,D9AF-C319-7B9E-486B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.38,38,00:0D:CF:02:EA:B8,F745-1A93-8C0A-4C66,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.146
H1KL8,KL,K,L,2,8,Mill Race,1,00:0D:99:91:A5:5E,B541-F884-F4D8-4942,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.39,39,00:0D:A3:A2:C7:F9,5872-E6AD-B7DA-4AF5,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.147
H1KL9,KL,K,L,2,9,Mill Race,1,00:0D:0D:49:9A:EF,8FE6-5244-0ACB-46F1,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.40,40,00:0D:27:53:AB:01,E2B9-F975-2F84-48BB,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.148
H1KL10,KL,K,L,2,10,Mill Race,1,00:0D:E1:FA:7F:A1,B72C-D3C7-0358-441A,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.41,41,00:0D:8C:FB:18:42,6765-28EA-FEF2-4B25,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.149
H1KL11,KL,K,L,2,11,Mill Race,1,00:0D:4F:9A:EB:38,4F56-56C6-0A93-43AC,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.42,42,00:0D:60:AC:8D:62,06B6-E07F-29CF-4A31,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.150
H1KL12,KL,K,L,2,12,Mill Race,1,00:0D:C3:C2:47:F9,64A0-59CC-6139-4221,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.43,43,00:0D:CC:4C:F2:F3,4BA8-2232-F09D-413B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.151
H1KL13,KL,K,L,2,13,Mill Race,1,00:0D:A0:63:B3:99,1104-4C40-EE29-45DF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.44,44,00:0D:42:74:C5:3A,511A-D374-EC06-4EFE,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.152
H1KL14,KL,K,L,2,14,Mill Race,1,00:0D:6B:7A:F6:20,2775-24D6-B164-4231,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.45,45,00:0D:26:15:B1:4B,4F92-063B-0244-4CD2,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.153
H1KL20,KL,K,L,2,20,Mill Race,1,00:0D:4F:2A:6B:42,3A89-4F23-19E9-4107,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.46,46,00:0D:F8:25:8D:EB,15C1-F67A-2F72-4FDD,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.154
H1KL21,KL,K,L,2,21,Mill Race,1,00:0D:CC:CA:D0:71,C244-2468-3762-4A9E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.47,47,00:0D:D6:D5:69:82,9DA3-DCF4-2BF9-484E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.155
H1KL22,KL,K,L,2,22,Mill Race,1,00:0D:20:7C:CD:12,E82D-B2F6-D49E-4892,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.48,48,00:0D:3A:7E:DE:34,778A-E089-D8E4-4F11,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.156
H1KL23,KL,K,L,2,23,Mill Race,1,00:0D:14:1D:91:CA,0C51-E764-969D-4100,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.49,49,00:0D:BD:2E:4B:DB,594F-F772-DBCE-49E1,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.157
H1KL24,KL,K,L,2,24,Mill Race,1,00:0D:F2:AD:05:6B,DB15-AC39-1092-4548,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.50,50,00:0D:93:DE:B0:8C,64CB-C23B-6FAA-4E84,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.158
H1KL25,KL,K,L,2,25,Mill Race,1,00:0D:56:55:79:2C,E86B-93BF-AC34-4B8B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.51,51,00:0D:7F:7F:83:25,1621-0150-BA31-44CB,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.159
H1KL26,KL,K,L,2,26,Mill Race,1,00:0D:DA:F6:56:BC,7774-4976-583E-4D52,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.52,52,00:0D:D3:27:F7:6D,CEFD-A9C8-96B2-42A1,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.160
H1KL27,KL,K,L,2,27,Mill Race,1,00:0D:B7:A6:CB:7D,36CF-8D0F-EAD7-42CC,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.53,53,00:0D:B8:47:E4:7E,87A2-E21C-71C5-47E2,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.161
H1KL28,KL,K,L,2,28,Mill Race,1,00:0D:1B:56:38:04,39ED-C01F-1F41-4747,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.54,54,00:0D:3C:F8:B9:B6,8C21-65A9-1A24-4467,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.162
H1OP6,OP,P,O,2,6,Mill Race,1,00:0D:FF:FF:1C:A5,A9A1-3DAF-2573-4D04,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.55,55,00:0D:90:98:2E:CF,AC5F-28AF-1F61-4968,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.163
H1OP7,OP,P,O,2,7,Mill Race,1,00:0D:31:E4:C4:AA,CF4C-F250-FE7E-47F8,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.56,56,00:0D:7E:40:9A:00,C113-B334-188E-44BB,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.164
H1OP8,OP,P,O,2,8,Mill Race,1,00:0D:25:14:B9:4B,F91C-B59F-55CB-4CBD,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.57,57,00:0D:E2:EA:0E:98,B740-A048-AB85-4991,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.165
H1OP9,OP,P,O,2,9,Mill Race,1,00:0D:09:BE:16:7C,B727-B888-980C-4230,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.58,58,00:0D:19:46:9E:FC,03BE-2F0D-5760-49BE,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.166
H1OP10,OP,P,O,2,10,Mill Race,1,00:0D:67:66:FA:94,2551-B037-B055-417F,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.59,59,00:0D:77:77:0B:A4,40B0-AAE2-CE19-43CD,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.167
H1OP11,OP,P,O,2,11,Mill Race,1,00:0D:4B:17:67:CD,2745-B3AB-23F5-4735,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.60,60,00:0D:5B:27:7F:45,B09D-7D9B-5385-4A44,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.168
H1OP12,OP,P,O,2,12,Mill Race,1,00:0D:CF:B7:DC:64,CBEF-03B8-3C02-438B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.61,61,00:0D:3F:CF:4C:F6,EEA1-6843-F8EE-4517,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.169
H1OP13,OP,P,O,2,13,Mill Race,1,00:0D:2C:67:C9:25,F2D8-ABD9-1C22-464D,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.62,62,00:0D:9C:70:B1:96,CF4C-A56A-1763-4A4C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.170
H1OP14,OP,P,O,2,14,Mill Race,1,00:0D:00:00:94:B7,326B-2EB5-5C2D-4347,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.63,63,00:0D:10:10:A4:C7,67A2-C55F-BD3D-4A33,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.171
H1OP20,OP,P,O,2,20,Mill Race,1,00:0D:E4:B0:01:76,E8D7-C138-012E-48D5,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.64,64,00:0D:F6:C0:19:EE,5029-3E6B-9719-4ABA,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.172
H1OP21,OP,P,O,2,21,Mill Race,1,00:0D:42:51:75:07,6395-4B09-8CAE-4BA8,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.65,65,00:0D:5A:69:E6:1F,A6DC-B734-5D93-4056,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.173
H1OP22,OP,P,O,2,22,Mill Race,1,00:0D:3C:E7:B9:A5,3D1A-9B64-C4CC-42EF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.66,66,00:0D:46:19:5A:31,FD61-5582-4111-417C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.174
H1OP23,OP,P,O,2,23,Mill Race,1,00:0D:90:98:2D:C6,E8E8-AF8B-7EF2-4392,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.67,67,00:0D:BB:B9:C7:60,E9B6-588A-C6F8-460C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.175
H1OP24,OP,P,O,2,24,Mill Race,1,00:0D:7D:30:9A:F0,682B-818A-FF1C-4BF4,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.68,68,00:0D:1F:6B:BC:01,F2B8-40D7-4B80-4190,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.176
H1OP25,OP,P,O,2,25,Mill Race,1,00:0D:51:EA:05:17,ADAA-AD8C-AF23-4539,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.69,69,00:0D:03:0C:80:C9,9EB0-E380-C084-41A7,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.177
H1OP26,OP,P,O,2,26,Mill Race,1,00:0D:55:8A:D2:B8,AB7C-FE22-4EF9-450E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.70,70,00:0D:CF:02:6A:C8,92BE-149C-3A75-44A5,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.178
H1OP27,OP,P,O,2,27,Mill Race,1,00:0D:33:33:C7:E0,3925-759C-58BE-47A4,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.71,71,00:0D:A3:A3:D7:FA,1AB2-4905-B16D-4C34,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.179
H1OP28,OP,P,O,2,28,Mill Race,1,00:0D:17:E3:33:09,3073-E17E-E4A0-4B13,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.72,72,00:0D:27:53:AC:11,2648-BCB8-BF2E-4B98,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.180
H1ST6,ST,S,T,2,6,Mill Race,1,00:0D:7B:83:08:3A,27B1-C475-B5BC-48FF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.73,73,00:0D:8D:FB:18:42,23FB-3476-A028-4A7B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.181
H1ST7,ST,S,T,2,7,Mill Race,1,00:0D:58:3C:75:D2,7C2B-8698-0D56-471B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.74,74,00:0D:60:AC:8D:62,67DA-834A-9867-4A94,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.182
H1ST8,ST,S,T,2,8,Mill Race,1,00:0D:DC:DC:E0:83,FE7A-D52A-FA0F-4CBF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.75,75,00:0D:CC:5C:F2:03,B8BD-DAE6-57FB-46BA,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.183
H1ST9,ST,S,T,2,9,Mill Race,1,00:0D:3A:8C:5D:22,1D02-7BA9-1F19-4675,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.76,76,00:0D:42:75:C5:3B,1102-3612-7AC9-4F28,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.184
H1ST10,ST,S,T,2,10,Mill Race,1,00:0D:26:35:B2:EC,7062-F766-7B0D-49CA,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.77,77,00:0D:26:25:B2:5C,10F1-8D37-4D89-4B44,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.185
H1ST11,ST,S,T,2,11,Mill Race,1,00:0D:0A:D6:27:0D,1ACB-2E93-CC6C-4953,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.78,78,00:0D:1A:CF:26:8D,2EDB-161D-3DC1-4F7A,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.186
H1ST12,ST,S,T,2,12,Mill Race,1,00:0D:88:86:9C:3D,614F-373B-C0CE-4068,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.79,79,00:0D:77:77:0B:AC,7F3B-5EDC-8872-4141,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.187
H1ST13,ST,S,T,2,13,Mill Race,1,00:0D:EC:38:88:DE,E0A7-05E5-265B-4A8C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.80,80,00:0D:5B:18:78:DE,7904-3C5E-121C-4144,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.188
H1ST14,ST,S,T,2,14,Mill Race,1,00:0D:C0:D8:5D:85,16C3-F317-D822-42AF,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.81,81,00:0D:DF:C8:DD:75,01BA-5954-EEC5-427E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.189
H1ST20,ST,S,T,2,20,Mill Race,1,00:0D:AD:69:C0:27,2732-94B6-1DF2-4F87,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.82,82,00:0D:72:BD:9E:7B,B63A-AA2A-C02E-44BD,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.190
H1ST21,ST,S,T,2,21,Mill Race,1,00:0D:11:11:35:D8,6531-EA46-D412-45FE,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.83,83,00:0D:66:6D:71:14,B300-B0AF-45BD-4F3D,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.191
H1ST22,ST,S,T,2,22,Mill Race,1,00:0D:85:B1:02:77,86CF-6A40-20EB-4432,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.84,84,00:0D:CA:06:D6:CC,6030-36D9-4839-4543,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.192
H1ST23,ST,S,T,2,23,Mill Race,1,00:0D:63:62:77:28,B743-6026-DA87-496A,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.85,85,00:0D:A7:36:CB:6D,63AD-78A2-3CBC-4D5E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.193
H1ST24,ST,S,T,2,24,Mill Race,1,00:0D:3D:78:5A:36,B1C7-EF45-4E61-4E65,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.86,86,00:0D:2B:D6:A8:94,51C7-AE8B-C8A5-48AC,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.194
H1ST25,ST,S,T,2,25,Mill Race,1,00:0D:11:19:4E:C0,7E0C-E581-C1AB-496C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.87,87,00:0D:8F:87:1C:B5,2F9C-9302-80A4-4FA5,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.195
H1ST26,ST,S,T,2,26,Mill Race,1,00:0D:1F:C1:92:87,C73B-84F0-FFAD-4EA6,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.88,88,00:0D:6D:2F:89:EF,5DF5-D546-7F77-475E,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.196
H1ST27,ST,S,T,2,27,Mill Race,1,00:0D:F3:62:86:18,6223-2C28-4877-4764,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.89,89,00:0D:C0:D9:F4:86,33EE-0B7A-0193-4F57,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.197
H1ST28,ST,S,T,2,28,Mill Race,1,00:0D:D7:9B:F3:59,7F6E-1316-0190-4C3B,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.90,90,00:0D:44:89:C1:A7,C582-B89E-F59A-4106,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.198
H1WX6,WX,X,W,2,6,Mill Race,1,00:0D:34:34:C8:61,0D84-9218-7397-4D9A,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.91,91,00:0D:22:22:B6:DF,6686-AFEC-8230-4C19,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.199
